"id","uuid","code","common_name_en","common_name_fr","scientific_name","abbrev","tsn","aphia_id","strap_code","image","description_image","shrimp","invertebrate","created_at","updated_at","created_by_id","last_modified_by_id","is_invalid"
99,"68b8c65c548147cc9fcd34078876bd2b",99,Sheepshead,Spare tête-de-mouton,Archosargus probatocephalus,,,159238,,species_images_by_aphia_id/159238/159238_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:16.980157",,,0
102,"116af6b9d9ef43f48eda5a0cd07757db",102,Scup,Spare doré,Stenotomus chrysops,,,159811,,species_images_by_aphia_id/159811/159811_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:29.946882",,,0
103,"704833131ec54a5c9f8fead05bbb4943",103,Squeteague,Acoupa royal,Cynoscion regalis,,,159313,,species_images_by_aphia_id/159313/159313_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:35.713786",,,0
104,"724f6cd8152241678773acdf194ba1e1",104,Black drum,Grand tambour,Pogonias cromis,,,159333,,species_images_by_aphia_id/159333/159333_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:26.923694",,,0
105,a102fc67efd14e2793dc6b1bd098a26a,105,Red goatfish,Rouget doré,Mullus auratus,,,159418,,species_images_by_aphia_id/159418/159418_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:34.880766",,,0
106,ddf0919a575f48d28e8fc807c1f49102,106,Bermuda sea chub,Kyphose des Bermudes,Kyphosus sectatrix,,,303486,,species_images_by_aphia_id/303486/303486_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:22.04834",,,0
107,"2a3f6a23926b4fd4892103be47159b45",107,Spotfin butterflyfish,Palhala,Chaetodon ocellatus,,,159662,,species_images_by_aphia_id/159662/159662_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:26.146446",,,0
110,"8637096726944afa893f13304faf66e6",110,Arctic cod,Morue arctique,Boreogadus saida,,,126433,,species_images_by_aphia_id/126433/126433_photo.jpg,species_images_by_aphia_id/126433/126433_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:20.83585",,,0
111,c060bb89c2724d4d9f27bba24798933b,111,Spotted codling,Merluche tachetée,Urophycis regia,,,158991,,"111.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:57.18",,,0
112,"175992f4ef1b4a3a92e650de9d1467ee",112,Longfin hake,Merluche à longues nageoires,Phycis chesteri,,,158988,,species_images_by_aphia_id/158988/158988_photo.jpg,species_images_by_aphia_id/158988/158988_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:02.024789",,,0
113,"4d57c6defbad4a92a5b978e1d6e8044a",113,Blue antimora,Antimore bleu,Antimora rostrata,,,126486,,"113.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:57.306",,,0
114,"91e91c5f82bd4b8bb1d301722f54eaee",114,Fourbeard rockling,Motelle à quatre barbillons,Enchelyopus cimbrius,,,126450,,species_images_by_aphia_id/126450/126450_photo.jpg,species_images_by_aphia_id/126450/126450_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:15.466661",,,0
115,"0a10df32913d4afd8313ce49a45651d6",115,"Threebeard Rockling, Threadfin Rockling",Mustèle arctique à trois barbillons,Gaidropsarus ensis,,,126453,,"115.jpg",species_images_by_aphia_id/126453/126453_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:39.282124",,,0
117,"651eb062aba347d3a5973b3110589995",117,Blue whiting,Poutassou,Micromesistius poutassou,,,126439,,species_images_by_aphia_id/126439/126439_photo.jpg,species_images_by_aphia_id/126439/126439_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:00.229923",,,0
118,c550877150014b04bf45c1fb87febf6a,118,"Greenland Cod, Ogac","Ogac, morue de roche",Gadus macrocephalus,,,254538,,species_images_by_aphia_id/254538/254538_photo.jpg,species_images_by_aphia_id/254538/254538_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:02.259698",,,0
119,e7fd6f29057c4dfc8aaac897ed7da6d8,119,Threebeard Rocklings unidentified,Mustèle non-spécifié,Gaidropsarus sp.,,,125743,,"119.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:57.606",,,0
120,"0b090575eaea492e874dc40d37f99c5e",120,White perch,Perche blanche,Morone americana,,,151177,,species_images_by_aphia_id/151177/151177_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:14.640556",,,0
121,ab67bbaa6dc54075a468ee04b4f4fd69,121,Black seabass,Mérou noir,Centropristis striata,,,159348,,species_images_by_aphia_id/159348/159348_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:28.076964",,,0
122,"3feaa359eda449a586f972ebe56c469f",122,Cunner,Tanche-tautogue,Tautogolabrus adspersus,,,159785,,species_images_by_aphia_id/159785/159785_photo.jpg,species_images_by_aphia_id/159785/159785_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:38.805628",,,0
123,"0cfb5474d7274820aa6480b09ff94e14",123,Blackbelly rosefish,Chèvre impériale,Helicolenus dactylopterus,,,127251,,species_images_by_aphia_id/127251/127251_photo.jpg,species_images_by_aphia_id/127251/127251_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:07.215894",,,0
137,"3dd8452efaa846458c3d0c65a2dfab8c",137,Luminous lanternfish,Lampadena luminosa,Lampadena luminosa,,,158896,,species_images_by_aphia_id/158896/158896_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:08.502132",,,0
138,bc51ebbc9f6243d3bae7d1ab55dc6f24,138,Mirror lanternfish,Lanterne-miroir,Lampadena speculigera,,,126608,,"138.jpg",species_images_by_aphia_id/126608/126608_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:18.549933",,,0
